Year,gdp_change,Scenario
2030,0.06309530892642502,SSP1-2.6
2040,0.10665527340433974,SSP1-2.6
2050,0.14479880575963144,SSP1-2.6
2060,0.1772316275562703,SSP1-2.6
2070,0.20369662364674473,SSP1-2.6
2080,0.22398114253413046,SSP1-2.6
2090,0.2379248191024933,SSP1-2.6
2100,0.24542462330723355,SSP1-2.6
2030,-0.10330977093978388,SSP2-4.5
2040,-0.1995887225689383,SSP2-4.5
2050,-0.307980778878567,SSP2-4.5
2060,-0.4267699229134489,SSP2-4.5
2070,-0.5543056180053866,SSP2-4.5
2080,-0.6890782350660412,SSP2-4.5
2090,-0.8297628106488502,SSP2-4.5
2100,-0.97523489417673,SSP2-4.5
2030,-0.3311845778261461,SSP3-7.0
2040,-0.6532021122799726,SSP3-7.0
2050,-1.0153941061473966,SSP3-7.0
2060,-1.405175588388238,SSP3-7.0
2070,-1.813308650988741,SSP3-7.0
2080,-2.2335775964856817,SSP3-7.0
2090,-2.662017146572345,SSP3-7.0
2100,-3.0961398311624184,SSP3-7.0
2030,-0.674268002552709,SSP5-8.5
2040,-1.350217150966943,SSP5-8.5
2050,-2.096749099258909,SSP5-8.5
2060,-2.8799366758785356,SSP5-8.5
2070,-3.6824712900203718,SSP5-8.5
2080,-4.495815124482803,SSP5-8.5
2090,-5.31553110163971,SSP5-8.5
2100,-6.139140431370271,SSP5-8.5
